SPECIES,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,SITE,ELV,ASPECT,DEPTH,SLOPE
BRYARG,0,0,0,0,1,0,0,0,0,0,0,0,238,862,338,125,38
BSC,5,3,3,1,2,0,0,0,0,0,0,0,238,862,338,125,38
CIRARV,0,0,0,0,0,1,0,0,0,0,0,0,238,862,338,125,38
CLAPER,0,0,0,0,0,0,0,0,0,1,0,0,238,862,338,125,38
CRADOU,0,0,0,0,0,2,0,0,0,3,0,0,238,862,338,125,38
DRAVER,1,1,0,0,0,0,1,0,0,0,0,0,238,862,338,125,38
EPIBRA,1,1,1,1,2,1,0,1,0,0,0,0,238,862,338,125,38
GALAPA,0,1,0,0,0,1,0,2,2,0,0,0,238,862,338,125,38
GALTRI,0,0,0,0,0,0,0,0,0,0,3,0,238,862,338,125,38
LT,3,5,4,3,3,5,4,5,5,5,5,5,238,862,338,125,38
LUPSER,0,0,0,0,0,0,0,2,0,0,0,2,238,862,338,125,38
MICGRA,1,0,0,0,0,0,0,0,0,0,0,0,238,862,338,125,38
MYOARV,0,1,0,0,1,1,0,0,1,0,0,0,238,862,338,125,38
NF,2,2,4,5,6,6,6,5,6,6,6,6,238,862,338,125,38
NNF,1,2,0,0,2,2,1,2,1,0,1,3,238,862,338,125,38
NNGRS,4,3,4,0,0,0,0,0,1,0,0,0,238,862,338,125,38
PHLPRA,0,0,0,0,0,0,0,0,1,0,0,0,238,862,338,125,38
POAPRA,4,2,4,0,0,0,0,0,0,0,0,0,238,862,338,125,38
SHRB,0,0,0,0,0,2,0,0,0,3,0,0,238,862,338,125,38
SILLAT,0,0,0,0,2,0,0,2,0,0,1,3,238,862,338,125,38
SOLMIS,0,1,4,5,5,6,6,4,6,6,6,6,238,862,338,125,38
SYNRUR,0,2,1,0,0,0,0,0,0,0,0,0,238,862,338,125,38
TRADUB,0,2,0,0,0,0,0,0,0,0,0,0,238,862,338,125,38
ACHMIL,0,0,0,1,1,0,1,0,0,2,0,3,239,871,27,114,31
BG,0,0,0,0,0,0,0,0,0,0,0,4,239,871,27,114,31
BRAALB,0,0,0,0,2,0,1,1,1,0,0,0,239,871,27,114,31
BROINE,5,6,6,6,4,5,5,5,6,5,5,3,239,871,27,114,31
BSC,0,0,0,0,3,0,1,1,1,0,0,0,239,871,27,114,31
CARROS,0,0,0,1,0,0,0,0,0,0,0,0,239,871,27,114,31
GALAPA,0,0,0,0,0,0,0,0,0,0,1,0,239,871,27,114,31
LACSER,0,0,0,1,0,0,0,0,0,0,0,0,239,871,27,114,31
LT,6,6,6,6,5,6,6,6,6,6,5,3,239,871,27,114,31
MALUS,0,0,0,0,0,0,0,0,0,0,1,4,239,871,27,114,31
MYOARV,0,1,1,0,1,0,2,1,0,1,1,2,239,871,27,114,31
NF,0,0,0,1,1,1,1,0,0,2,1,3,239,871,27,114,31
NGRS,0,0,0,1,0,0,0,0,0,0,0,0,239,871,27,114,31
NNF,0,1,1,1,1,0,2,1,1,1,2,2,239,871,27,114,31
NNGRS,5,6,6,6,5,5,5,5,6,5,3,6,239,871,27,114,31
PELRUF,0,0,0,0,2,0,0,0,0,0,0,0,239,871,27,114,31
PHLPRA,0,0,0,0,0,0,0,0,0,0,2,2,239,871,27,114,31
POAPRA,0,0,0,1,3,1,0,0,0,2,0,0,239,871,27,114,31
ROSA,0,0,0,0,0,0,0,0,0,1,0,0,239,871,27,114,31
SENINT,0,0,0,0,0,1,0,0,0,0,0,0,239,871,27,114,31
SHRB,0,0,0,0,0,0,0,0,0,1,1,4,239,871,27,114,31
SILLAT,0,0,0,0,0,0,0,0,1,0,2,0,239,871,27,114,31
ACHMIL,0,0,0,0,1,0,2,3,3,0,0,0,303,858,26,123,27
APOAND,0,0,0,0,0,1,0,0,0,0,0,0,303,858,26,123,27
ARRELA,6,6,6,5,5,5,6,6,5,6,6,6,303,858,26,123,27
BRAALB,0,0,0,0,0,0,2,0,0,0,0,0,303,858,26,123,27
BROINE,0,0,0,0,0,0,0,2,0,0,0,0,303,858,26,123,27
BSC,0,0,0,0,0,1,2,3,2,0,0,3,303,858,26,123,27
CRADOU,0,0,0,0,1,1,2,2,0,0,1,0,303,858,26,123,27
LT,6,6,6,6,6,6,6,6,6,6,6,6,303,858,26,123,27
LUPARG,0,0,0,0,0,0,0,0,2,0,0,0,303,858,26,123,27
MAIANTHEMUM,0,0,0,1,0,0,0,0,0,0,0,0,303,858,26,123,27
NF,0,0,0,1,4,1,2,4,3,3,0,0,303,858,26,123,27
NNGRS,6,6,6,5,5,5,6,6,5,6,6,6,303,858,26,123,27
POTARG,0,0,0,0,4,0,0,0,0,3,0,0,303,858,26,123,27
PRUVIR,0,0,0,0,0,1,0,0,0,0,0,0,303,858,26,123,27
ROSEGA,1,0,1,0,0,0,0,2,0,1,0,0,303,858,26,123,27
SHRB,1,0,1,0,1,1,2,3,0,1,1,0,303,858,26,123,27
SYNRUR,0,0,0,0,0,1,1,3,2,0,0,3,303,858,26,123,27
VERCAL,0,0,0,0,0,0,0,3,0,0,0,0,303,858,26,123,27
ACHMIL,1,0,2,0,0,0,0,0,0,0,0,0,492,915,5,98,25
ARRELA,4,4,5,5,4,4,4,5,4,5,4,2,492,915,5,98,25
BALSAG,0,0,0,0,0,0,0,0,0,0,0,3,492,915,5,98,25
BESRUB,0,0,0,0,1,0,0,0,0,0,0,0,492,915,5,98,25
FESIDA,0,0,1,0,0,0,0,0,0,0,0,0,492,915,5,98,25
GALAPA,0,0,0,0,0,0,0,0,0,0,0,1,492,915,5,98,25
GALBOR,0,0,0,1,1,1,1,0,0,1,0,0,492,915,5,98,25
GERVIS,0,0,4,4,1,2,4,0,0,0,0,0,492,915,5,98,25
GEUTRI,3,3,1,1,3,0,3,0,3,1,0,0,492,915,5,98,25
HEUGRO,3,1,0,0,0,0,2,2,0,0,0,0,492,915,5,98,25
HIESCO,0,2,0,0,0,3,0,0,0,1,0,0,492,915,5,98,25
LOMDIS,0,0,0,0,1,0,0,0,0,1,2,1,492,915,5,98,25
LOMTRI,0,0,0,1,0,0,0,0,0,0,0,0,492,915,5,98,25
LT,6,6,6,6,6,6,6,6,6,6,6,6,492,915,5,98,25
